petal_length,petal_width,species
1.4,0.2,Iris-setosa
1.4,0.2,Iris-setosa
1.3,0.2,Iris-setosa
1.5,0.2,Iris-setosa
1.4,0.2,Iris-setosa
1.7,0.4,Iris-setosa
,0.3,Iris-setosa
1.5,0.2,Iris-setosa
1.4,0.2,Iris-setosa
1.5,0.1,Iris-setosa
1.5,0.2,Iris-setosa
1.6,0.2,Iris-setosa
1.4,0.1,Iris-setosa
1.1,0.1,Iris-setosa
1.2,0.2,Iris-setosa
1.5,0.4,Iris-setosa
1.3,0.4,Iris-setosa
1.4,0.3,Iris-setosa
1.7,0.3,Iris-setosa
1.5,0.3,Iris-setosa
1.7,0.2,Iris-setosa
1.5,0.4,Iris-setosa
1.0,0.2,Iris-setosa
1.7,0.5,Iris-setosa
1.9,0.2,Iris-setosa
1.6,0.2,Iris-setosa
1.6,0.4,Iris-setosa
1.5,0.2,Iris-setosa
1.4,0.2,Iris-setosa
1.6,0.2,Iris-setosa
1.6,0.2,Iris-setosa
1.5,0.4,Iris-setosa
1.5,0.1,Iris-setosa
1.4,0.2,Iris-setosa
1.5,0.1,Iris-setosa
1.2,0.2,Iris-setosa
1.3,0.2,Iris-setosa
1.5,0.1,Iris-setosa
1.3,0.2,Iris-setosa
1.5,0.2,Iris-setosa
1.3,0.3,Iris-setosa
1.3,0.3,Iris-setosa
1.3,0.2,Iris-setosa
1.6,0.6,Iris-setosa
1.9,0.4,Iris-setosa
1.4,0.3,Iris-setosa
1.6,0.2,Iris-setosa
1.4,0.2,Iris-setosa
1.5,0.2,Iris-setosa
,0.2,Iris-setosa
